site,name,rating,street,city,state,country,phone
durell_market,Series TV,, Cité U, Yaoundé, Cameroun ,,237694569554
durell_market,Bazar Shopping,, Bonas, Yaoundé, Cameroun, Cameroun ,
durell_market,Computer Shoping,, Bonamoussadi, Douala, Cameroun ,,237699884455
durell_market,Christy Shop,, Douala, Cameroun ,,,+237699885544
durell_market,YKGCMR,, Cameroun ,,,,237695980808
durell_market,Adeline Shopping,, Cameroun ,,,,
durell_market,Kath VM,, Bepanda, Douala, Cameroun ,,+237695656212
durell_market,Geraldine Shop,, Cameroun ,,,,237679610142
durell_market,Que du bon Shop,, Cameroun ,,,,696272954
durell_market,DorlyShop,, Cameroun ,,,,
durell_market,Emilie Shopping,5.00, Mboppi. Douala, Douala, Cameroon, Cameroun ,655408055
durell_market,Abo Shop,, Cameroun ,,,,+23774856699
durell_market,Achillo Fashion,, Cameroun ,,,,+23765544115
durell_market,Afissou Boutique,, Cameroun ,,,,+23765544114
durell_market,Andre Boutique,, Cameroun ,,,,
durell_market,Gladys Shopping,, Cameroun ,,,,
durell_market,BeHappy,, Sénégal ,,,,00221777148841
durell_market,Leader Electronic,, Cameroun ,,,,
durell_market,DGY Librairie,, Cameroun ,,,,+237
durell_market,Hair 360 Lacewigs,, Cameroun ,,,,
durell_market,Naal SARL,, Logpom, Douala, Cameroun ,,691190974
durell_market,Dallas Sweety,, Cameroun ,,,,
durell_market,Petit Mboppi SARL,, Douala, Littoral, Cameroun ,,682345737
durell_market,Washingtonien,, Station MRS Face CHU, Cameroun ,,,
durell_market,LEEF Paris,, Ngoa Ekélé, Yaoundé, Cameroun ,,237696818177
durell_market,IcorpShop,,,,,,699556021
durell_market,Boloboss,,,,,,690170654
durell_market,Dvt-London-Brocante,,,,,,23773605772
durell_market,360Hair,,,,,,
durell_market,magicdownloader,,,,,,237699556021
durell_market,LeaderElectronique,,,,,,
durell_market,BeHappys,,,,,,
durell_market,Perla zip,, Mbankolo, Yaoundé, Centre, Cameroun ,682428259
durell_market,Shopping Vetements,, Douala, Littoral, Cameroun ,,+237690069962
durell_market,Access Douala,, Douala, Cameroun ,,,690480438
durell_market,Nicywax,, Yaoundé, Centre, Cameroun ,,674296202
